
LocalAddress  LocalPort OwningProcess
------------  --------- -------------
::                  135          1552
0.0.0.0             135          1552
172.30.240.1        139             4
192.168.1.110       139             4
::                  445             4
::                  623          5732
0.0.0.0             623          5732
127.0.0.1          3000         15320
0.0.0.0            5040          9356
127.0.0.1          8000           584
127.0.0.1          9090         15320
127.0.0.1         12434         15320
0.0.0.0           16992          5732
::                16992          5732
::                49664          1240
0.0.0.0           49664          1240
::                49665          1064
0.0.0.0           49665          1064
::                49666          3360
0.0.0.0           49666          3360
0.0.0.0           49667          3904
::                49667          3904
::                49668          4328
0.0.0.0           49668          4328
::1               49669          5164
0.0.0.0           49685          1212
::                49685          1212
127.0.0.1         54403          3560



